expiryDate,day,type
06-01-2022,Thu,W
13-01-2022,Thu,W
20-01-2022,Thu,W
27-01-2022,Thu,M
03-02-2022,Thu,W
10-02-2022,Thu,W
17-02-2022,Thu,W
24-02-2022,Thu,M
03-03-2022,Thu,W
10-03-2022,Thu,W
17-03-2022,Thu,W
24-03-2022,Thu,W
31-03-2022,Thu,M
07-04-2022,Thu,W
13-04-2022,Wed,W
21-04-2022,Thu,W
28-04-2022,Thu,M
05-05-2022,Thu,W
12-05-2022,Thu,W
19-05-2022,Thu,W
26-05-2022,Thu,M
02-06-2022,Thu,W
09-06-2022,Thu,W
16-06-2022,Thu,W
23-06-2022,Thu,W
30-06-2022,Thu,M
07-07-2022,Thu,W
14-07-2022,Thu,W
21-07-2022,Thu,W
28-07-2022,Thu,M
04-08-2022,Thu,W
11-08-2022,Thu,W
18-08-2022,Thu,W
25-08-2022,Thu,M
01-09-2022,Thu,W
08-09-2022,Thu,W
15-09-2022,Thu,W
22-09-2022,Thu,W
29-09-2022,Thu,M
06-10-2022,Thu,W
13-10-2022,Thu,W
20-10-2022,Thu,W
27-10-2022,Thu,M
03-11-2022,Thu,W
10-11-2022,Thu,W
17-11-2022,Thu,W
24-11-2022,Thu,M
01-12-2022,Thu,W
08-12-2022,Thu,W
15-12-2022,Thu,W
22-12-2022,Thu,W
29-12-2022,Thu,M
05-01-2023,Thu,W
12-01-2023,Thu,W
19-01-2023,Thu,W
25-01-2023,Thu,M
02-02-2023,Thu,W
09-02-2023,Thu,W
16-02-2023,Thu,W
23-02-2023,Thu,M
02-03-2023,Thu,W
09-03-2023,Thu,W
16-03-2023,Thu,W
23-03-2023,Thu,W
29-03-2023,Wed,M
06-04-2023,Thu,W
13-04-2023,Thu,W
20-04-2023,Thu,W
27-04-2023,Thu,M
04-05-2023,Thu,W
11-05-2023,Thu,W
18-05-2023,Thu,W
25-05-2023,Thu,M
01-06-2023,Thu,W
08-06-2023,Thu,W
15-06-2023,Thu,W
22-06-2023,Thu,W
29-06-2023,Thu,M
06-07-2023,Thu,W
13-07-2023,Thu,W
20-07-2023,Thu,W
27-07-2023,Thu,M
03-08-2023,Thu,W
10-08-2023,Thu,W
17-08-2023,Thu,W
24-08-2023,Thu,W
31-08-2023,Thu,M
07-09-2023,Thu,W
14-09-2023,Thu,W
21-09-2023,Thu,W
27-09-2023,Wed,M
05-10-2023,Thu,W
12-10-2023,Thu,W
19-10-2023,Thu,W
26-10-2023,Thu,M
02-11-2023,Thu,W
09-11-2023,Thu,W
16-11-2023,Thu,W
23-11-2023,Thu,W
30-11-2023,Thu,M
07-12-2023,Thu,W
14-12-2023,Thu,W
21-12-2023,Thu,W
28-12-2023,Thu,M
