srNo,date,day,description
1,26-Jan-22,Wednesday,Republic Day
2,01-Mar-22,Tuesday,Mahashivratri
3,18-Mar-22,Friday,Holi
4,01-Apr-22,Friday,Annual Bank Closing
5,14-Apr-22,Thursday,Dr.Baba Saheb Ambedkar Jayanti/Mahavir Jayanti
6,15-Apr-22,Friday,Good Friday
7,03-May-22,Tuesday,Id-Ul-Fitr (Ramzan ID)
8,16-May-22,Monday,Buddha Pournima
9,09-Aug-22,Tuesday,Moharram
10,15-Aug-22,Monday,Independence Day
11,16-Aug-22,Tuesday,Parsi New Year
12,31-Aug-22,Wednesday,Ganesh Chaturthi
13,05-Oct-22,Wednesday,Dussehra
14,24-Oct-22,Monday,Diwali * Laxmi Pujan
15,26-Oct-22,Wednesday,Diwali-Balipratipada
16,08-Nov-22,Tuesday,Gurunanak Jayanti
17,26-Jan-23,Thursday,Republic Day
18,26-Jan-23,Thursday,Republic Day
19,07-Mar-23,Tuesday,Holi
20,30-Mar-23,Thursday,Ram Navami
21,04-Apr-23,Tuesday,Mahavir Jayanti
22,07-Apr-23,Friday,Good Friday
23,14-Apr-23,Friday,Dr. Baba Saheb Ambedkar Jayanti
24,01-May-23,Monday,Maharashtra Day
25,28-Jun-23,Wednesday,Bakri Id
26,15-Aug-23,Tuesday,Independence Day
27,19-Sep-23,Tuesday,Ganesh Chaturthi
28,02-Oct-23,Monday,Mahatma Gandhi Jayanti
29,24-Oct-23,Tuesday,Dussehra
30,14-Nov-23,Tuesday,Diwali-Balipratipada
31,27-Nov-23,Monday,Gurunanak Jayanti
32,25-Dec-23,Monday,Christmas
